pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes
GOBP_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION,1.890959288264481e-16,6.687321906497681e-14,3.0743525480367584,40,48,
GOBP_MITOCHONDRIAL_TRANSLATION,2.1941495357171681e-16,7.328459449295342e-14,3.3817878028404342,33,36,
GOBP_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS,3.0354960528729814e-15,9.604948563090718e-13,2.297063413250106,66,106,
GOBP_POSTTRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION,9.076461520919661e-15,2.72838433318845e-12,2.2470722260195943,67,110,
GOBP_TRANSLATIONAL_INITIATION,1.0197076740480185e-13,2.919277398274613e-11,2.8211705734925547,39,51,
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,1.0253103671188927e-12,2.8018936032358104e-10,3.535505430242272,23,24,
GOBP_MATURATION_OF_LSU_RRNA,3.2162310305357957e-12,8.406948241557044e-10,3.68922305764411,20,20,
GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY,1.2297851808864532e-11,3.0806118781205653e-9,3.68922305764411,19,19,
GOBP_TRANSLATIONAL_ELONGATION,5.075088524217375e-11,1.2204572883037944e-8,3.513545769184867,20,21,
GOBP_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS,2.936386016444411e-10,6.789827973409153e-8,1.9161080997066309,67,129,
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,1.3924061010573182e-7,3.100424251687629e-5,3.68922305764411,12,12,
GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION,3.897759194405203e-7,8.369045813130029e-5,3.425707124955245,13,14,
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,5.243054932074078e-7,1.0168143952138502e-4,3.68922305764411,11,11,
GOBP_MATURATION_OF_5_8S_RRNA,5.243054932074078e-7,1.0168143952138502e-4,3.68922305764411,11,11,
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY,5.243054932074078e-7,1.0168143952138502e-4,3.68922305764411,11,11,
GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,1.9705260438797713e-6,3.58994017448642e-4,3.68922305764411,10,10,
GOBP_MATURATION_OF_SSU_RRNA,1.9705260438797713e-6,3.58994017448642e-4,3.68922305764411,10,10,
GOBP_POSITIVE_REGULATION_OF_TRANSLATION,3.192694537055514e-6,5.645435163758162e-4,2.3570036201615148,23,36,
GOBP_PROTEIN_TARGETING_TO_MEMBRANE,8.443109925521616e-6,0.0014502850534924558,2.6131996658312446,17,24,
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,8.880841556994992e-6,0.0014831005400181636,2.9974937343358397,13,16,
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS,2.733608790116561e-5,0.004266586771480928,2.951378446115288,12,15,
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,2.767745909643316e-5,0.004266586771480928,3.68922305764411,8,8,
GOBP_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,2.767745909643316e-5,0.004266586771480928,3.68922305764411,8,8,
GOBP_RNA_SPLICING,6.0622230957747715e-5,0.009111521312949481,2.5153793574846204,15,22,
GOBP_REGULATION_OF_TRANSLATIONAL_INITIATION,7.084338203487749e-5,0.010388058848626425,2.2898625875032406,18,29,
GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,1.0343744279661889e-4,0.014461997816122623,3.6892230576441096,7,7,
GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY,1.0343744279661889e-4,0.014461997816122623,3.6892230576441096,7,7,
GOBP_MRNA_PROCESSING,1.0808942526692661e-4,0.014768946016017335,2.3611027568922305,16,25,
GOBP_NON_MEMBRANE_BOUNDED_ORGANELLE_ASSEMBLY,1.1504160988554694e-4,0.015369559080709071,1.648376259798432,42,94,
GOBP_POSITIVE_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS,1.7979413475875092e-4,0.023498311699339358,1.9733053564142913,23,43,
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS,1.8846032323892382e-4,0.024106882198136382,2.038781163434903,21,38,
GOBP_TRANSLATIONAL_TERMINATION,2.3507161274968614e-4,0.02944271949689819,3.0184552289815447,9,11,
GOBP_MRNA_METABOLIC_PROCESS,2.4738565642767646e-4,0.03035270543761614,1.8122499230532472,28,57,
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS,3.712859011932947e-4,0.04461026709398797,1.9324501730516768,22,42,
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,3.8585061358738763e-4,0.04461026709398797,3.68922305764411,6,6,
GOBP_VIRAL_TRANSLATION,3.8585061358738763e-4,0.04461026709398797,3.68922305764411,6,6,
GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY,6.337573286979184e-4,0.07188960490814879,3.2280701754385963,7,8,
GOBP_FORMATION_OF_TRANSLATION_PREINITIATION_COMPLEX,0.0014366569800322274,0.1439530293992292,3.68922305764411,5,5,
GOBP_POSITIVE_REGULATION_OF_RNA_BINDING,0.0014366569800322274,0.1439530293992292,3.68922305764411,5,5,
GOBP_REGULATION_OF_RNA_BINDING,0.0014366569800322274,0.1439530293992292,3.68922305764411,5,5,
GOBP_RESCUE_OF_STALLED_RIBOSOME,0.0014366569800322274,0.1439530293992292,3.68922305764411,5,5,
GOBP_RRNA_METHYLATION,0.0014366569800322274,0.1439530293992292,3.68922305764411,5,5,
GOBP_RRNA_MODIFICATION,0.0014366569800322274,0.1439530293992292,3.68922305764411,5,5,
GOBP_VIRAL_TRANSLATIONAL_TERMINATION_REINITIATION,0.0014366569800322274,0.1439530293992292,3.68922305764411,5,5,
GOBP_MRNA_CATABOLIC_PROCESS,0.0015145250603801742,0.14926761742632144,2.049568365357839,15,27,
GOBP_RNA_CATABOLIC_PROCESS,0.0018806559968108296,0.1823629653681727,1.9675856307435253,16,30,
GOBP_REGULATION_OF_MITOCHONDRIAL_GENE_EXPRESSION,0.0020803296383319955,0.19852288548653899,3.1621911922663797,6,7,
GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY,0.0021870439890427137,0.20544544472069992,2.8693957115009745,7,9,
GOBP_NUCLEIC_ACID_PHOSPHODIESTER_BOND_HYDROLYSIS,0.003027805230012084,0.2758055309520099,2.305764411027569,10,16,
GOBP_REGULATION_OF_RNA_SPLICING,0.003027805230012084,0.2758055309520099,2.305764411027569,10,16,
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,0.0037869464706782084,0.33980779375697595,2.371643394199785,9,14,
GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,0.004663343419326562,0.39629263414546345,2.4594820384294067,8,12,
GOBP_RNA_METHYLATION,0.004663343419326562,0.39629263414546345,2.4594820384294067,8,12,
GOBP_RNA_MODIFICATION,0.004663343419326562,0.39629263414546345,2.4594820384294067,8,12,
GOBP_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,0.0049501133684452595,0.39629263414546345,1.7919083422842819,17,35,
GOBP_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,0.005083188844333554,0.39629263414546345,1.9129304743339828,14,27,
GOBP_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING,0.005339272016929897,0.39629263414546345,3.68922305764411,4,4,
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING,0.005339272016929897,0.39629263414546345,3.68922305764411,4,4,
GOBP_IRES_DEPENDENT_VIRAL_TRANSLATIONAL_INITIATION,0.005339272016929897,0.39629263414546345,3.68922305764411,4,4,
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS,0.005339272016929897,0.39629263414546345,3.68922305764411,4,4,
GOBP_MITOCHONDRIAL_TRANSLATIONAL_ELONGATION,0.005339272016929897,0.39629263414546345,3.68922305764411,4,4,
GOBP_POSTTRANSLATIONAL_PROTEIN_TARGETING_TO_ENDOPLASMIC_RETICULUM_MEMBRANE,0.005339272016929897,0.39629263414546345,3.68922305764411,4,4,
GOBP_REGULATION_OF_MRNA_BINDING,0.005339272016929897,0.39629263414546345,3.68922305764411,4,4,
GOBP_REGULATION_OF_TRANSLATIONAL_ELONGATION,0.005339272016929897,0.39629263414546345,3.68922305764411,4,4,
GOBP_RIBOSOME_DISASSEMBLY,0.005339272016929897,0.39629263414546345,3.68922305764411,4,4,
GOBP_REGULATION_OF_TRANSLATIONAL_TERMINATION,0.006690688812256422,0.4905417212108001,3.0743525480367584,5,6,
GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY,0.009287803267709765,0.672750280065917,2.2702911123963756,8,13,
GOBP_METHYLATION,0.010164648310258335,0.7274984004913465,1.8446115288220553,13,26,
GOBP_POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS,0.011839907384717168,0.8374296846696426,2.347687400318979,7,11,
GOBP_VIRAL_GENE_EXPRESSION,0.012630694427294222,0.8829736615917776,2.075187969924812,9,16,
GOBP_CELLULAR_NITROGEN_COMPOUND_CATABOLIC_PROCESS,0.012961136241805227,0.8956592078819887,1.686501969208736,16,35,
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL,0.01547102447107072,1,1.941696346128479,10,19,
GOBP_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION,0.018216586747067477,1,2.6351593268886497,5,7,
GOBP_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION,0.018216586747067477,1,2.6351593268886497,5,7,
GOBP_REGULATION_OF_TRANSCRIPTION_ELONGATION_FROM_RNA_POLYMERASE_II_PROMOTER,0.018216586747067477,1,2.6351593268886497,5,7,
GOBP_TRANSCRIPTION_ELONGATION_FROM_RNA_POLYMERASE_II_PROMOTER,0.018216586747067477,1,2.6351593268886497,5,7,
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,0.01980654190118692,1,3.68922305764411,3,3,
GOBP_AXONEME_ASSEMBLY,0.01980654190118692,1,3.68922305764411,3,3,
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,0.01980654190118692,1,3.68922305764411,3,3,
GOBP_ENDOPLASMIC_RETICULUM_MANNOSE_TRIMMING,0.01980654190118692,1,3.68922305764411,3,3,
GOBP_ERYTHROCYTE_DEVELOPMENT,0.01980654190118692,1,3.68922305764411,3,3,
GOBP_MITOCHONDRIAL_RIBOSOME_ASSEMBLY,0.01980654190118692,1,3.68922305764411,3,3,
GOBP_MITOCHONDRIAL_TRANSCRIPTION,0.01980654190118692,1,3.68922305764411,3,3,
GOBP_NCRNA_3_END_PROCESSING,0.01980654190118692,1,3.68922305764411,3,3,
GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY,0.01980654190118692,1,3.68922305764411,3,3,
GOBP_PEPTIDYL_ASPARAGINE_MODIFICATION,0.01980654190118692,1,3.68922305764411,3,3,
GOBP_POSTTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE_TRANSLOCATION,0.01980654190118692,1,3.68922305764411,3,3,
GOBP_PROTEIN_DEMANNOSYLATION,0.01980654190118692,1,3.68922305764411,3,3,
GOBP_PROTEIN_INSERTION_INTO_ER_MEMBRANE,0.01980654190118692,1,3.68922305764411,3,3,
GOBP_REGULATION_OF_TRANSLATIONAL_FIDELITY,0.01980654190118692,1,3.68922305764411,3,3,
GOBP_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE_TRANSLOCATION,0.01980654190118692,1,3.68922305764411,3,3,
GOBP_INTRACELLULAR_PROTEIN_TRANSMEMBRANE_TRANSPORT,0.020949732164520583,1,2.9513784461152883,4,5,
GOBP_NEGATIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION,0.020949732164520583,1,2.9513784461152883,4,5,
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY,0.020949732164520583,1,2.9513784461152883,4,5,
GOBP_PROTEIN_TRANSMEMBRANE_TRANSPORT,0.020949732164520583,1,2.9513784461152883,4,5,
GOBP_REGULATION_OF_CYTOPLASMIC_TRANSLATION,0.020949732164520583,1,2.9513784461152883,4,5,
GOBP_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY,0.020949732164520583,1,2.9513784461152883,4,5,
GOBP_ERAD_PATHWAY,0.0288176357386496,1,2.213533834586466,6,10,
GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS,0.0288176357386496,1,2.213533834586466,6,10,
GOBP_RNA_PHOSPHODIESTER_BOND_HYDROLYSIS,0.0288176357386496,1,2.213533834586466,6,10,
GOBP_REGULATION_OF_MRNA_CATABOLIC_PROCESS,0.04208405726576117,1,1.844611528822055,8,16,
GOBP_NEGATIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS,0.049467818869048885,1,2.4594820384294067,4,6,
GOBP_RNA_3_END_PROCESSING,0.049467818869048885,1,2.4594820384294067,4,6,
GOBP_RNA_DESTABILIZATION,0.049467818869048885,1,2.4594820384294067,4,6,
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS,0.05000422221973287,1,1.6232581453634085,11,25,
GOBP_ORGANIC_CYCLIC_COMPOUND_CATABOLIC_PROCESS,0.050182832185634046,1,1.4756892230576442,16,40,
GOBP_G1_TO_G0_TRANSITION,0.06320835155395797,1,2.7669172932330826,3,4,
GOBP_PROTEIN_DEGLYCOSYLATION,0.06320835155395797,1,2.7669172932330826,3,4,
GOBP_NCRNA_TRANSCRIPTION,0.0666167812007549,1,2.049568365357839,5,9,
GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_CELLULAR_PROTEIN_CATABOLIC_PROCESS,0.0666167812007549,1,2.049568365357839,5,9,
GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,0.0666167812007549,1,2.049568365357839,5,9,
GOBP_PROTEIN_METHYLATION,0.0666167812007549,1,2.049568365357839,5,9,
GOBP_RNA_PHOSPHODIESTER_BOND_HYDROLYSIS_ENDONUCLEOLYTIC,0.0666167812007549,1,2.049568365357839,5,9,
GOBP_UBIQUITIN_DEPENDENT_ERAD_PATHWAY,0.0666167812007549,1,2.049568365357839,5,9,
GOBP_CAP_DEPENDENT_TRANSLATIONAL_INITIATION,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_CRD_MEDIATED_MRNA_STABILIZATION,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_CYTOPLASMIC_TRANSLATIONAL_ELONGATION,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_MOTILE_CILIUM_ASSEMBLY,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_MRNA_CIS_SPLICING_VIA_SPLICEOSOME,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERASE,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_NEGATIVE_REGULATION_OF_VIRAL_TRANSCRIPTION,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSLATION,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_POSITIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_POSITIVE_REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_POSITIVE_REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_STRESS,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_POSITIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_POSTSYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_PROTEIN_LOCALIZATION_TO_CYTOPLASMIC_STRESS_GRANULE,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEAR_BODY,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEOPLASM,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_REGULATION_OF_SNRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_II,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_REGULATION_OF_TRANSLATION_AT_SYNAPSE_MODULATING_SYNAPTIC_TRANSMISSION,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_REGULATION_OF_VIRAL_TRANSCRIPTION,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_RIBOSOME_ASSOCIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_RNA_5_END_PROCESSING,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_RRNA_CATABOLIC_PROCESS,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_SNO_S_RNA_METABOLIC_PROCESS,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_SNO_S_RNA_PROCESSING,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_SNRNA_METABOLIC_PROCESS,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_SNRNA_MODIFICATION,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_SNRNA_TRANSCRIPTION,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_SNRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_II,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE_SIGNAL_SEQUENCE_RECOGNITION,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_TRANSLATIONAL_READTHROUGH,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_TRNA_5_END_PROCESSING,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_TRNA_5_LEADER_REMOVAL,0.07333908462152332,1,3.68922305764411,2,2,
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,0.0805010881886212,1,1.341535657325131,20,55,
GOBP_ERYTHROCYTE_HOMEOSTASIS,0.08504078019846373,1,1.6396546922862711,8,18,
GOBP_NEGATIVE_REGULATION_OF_RNA_CATABOLIC_PROCESS,0.09113612836502398,1,2.10812746151092,4,7,
GOBP_STRESS_GRANULE_ASSEMBLY,0.09113612836502398,1,2.10812746151092,4,7,
GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION,0.12659628063811407,1,2.213533834586466,3,5,
GOBP_NCRNA_CATABOLIC_PROCESS,0.12659628063811407,1,2.213533834586466,3,5,
GOBP_POSITIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR,0.12659628063811407,1,2.213533834586466,3,5,
GOBP_PROTEIN_NEDDYLATION,0.12659628063811407,1,2.213533834586466,3,5,
GOBP_REGULATION_OF_HISTONE_METHYLATION,0.12659628063811407,1,2.213533834586466,3,5,
GOBP_PROTEIN_TARGETING,0.14746745066686018,1,1.2505840873369864,20,59,
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR,0.14959807914981954,1,1.519091847265222,7,17,
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,0.1504367740791032,1,1.6769195716564136,5,11,
GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,0.16230371938788216,1,1.3527151211361736,11,30,
GOBP_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM,0.18040417006219617,1,2.4594820384294067,2,3,
GOBP_DOSAGE_COMPENSATION,0.18040417006219617,1,2.4594820384294067,2,3,
GOBP_GLYCOPROTEIN_CATABOLIC_PROCESS,0.18040417006219617,1,2.4594820384294067,2,3,
GOBP_HISTONE_MRNA_METABOLIC_PROCESS,0.18040417006219617,1,2.4594820384294067,2,3,
GOBP_MATURE_RIBOSOME_ASSEMBLY,0.18040417006219617,1,2.4594820384294067,2,3,
GOBP_MHC_CLASS_II_BIOSYNTHETIC_PROCESS,0.18040417006219617,1,2.4594820384294067,2,3,
GOBP_NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,0.18040417006219617,1,2.4594820384294067,2,3,
GOBP_NUCLEAR_BODY_ORGANIZATION,0.18040417006219617,1,2.4594820384294067,2,3,
GOBP_NUCLEOLUS_ORGANIZATION,0.18040417006219617,1,2.4594820384294067,2,3,
GOBP_PML_BODY_ORGANIZATION,0.18040417006219617,1,2.4594820384294067,2,3,
GOBP_POSITIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION,0.18040417006219617,1,2.4594820384294067,2,3,
GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_TRANSLATION,0.18040417006219617,1,2.4594820384294067,2,3,
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_III,0.18040417006219617,1,2.4594820384294067,2,3,
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_ELONGATION_FROM_RNA_POLYMERASE_II_PROMOTER,0.18040417006219617,1,2.4594820384294067,2,3,
GOBP_REGULATION_OF_PROTEIN_NEDDYLATION,0.18040417006219617,1,2.4594820384294067,2,3,
GOBP_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE,0.18040417006219617,1,2.4594820384294067,2,3,
GOBP_REGULATION_OF_RESPIRATORY_SYSTEM_PROCESS,0.18040417006219617,1,2.4594820384294067,2,3,
GOBP_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_III,0.18040417006219617,1,2.4594820384294067,2,3,
GOBP_RESPONSE_TO_INTERLEUKIN_7,0.18040417006219617,1,2.4594820384294067,2,3,
GOBP_RNA_POLYADENYLATION,0.18040417006219617,1,2.4594820384294067,2,3,
GOBP_TRANSCRIPTION_BY_RNA_POLYMERASE_III,0.18040417006219617,1,2.4594820384294067,2,3,
GOBP_MYELOID_CELL_HOMEOSTASIS,0.18353269491740787,1,1.4054183076739468,8,21,
GOBP_REGULATION_OF_VIRAL_PROCESS,0.1906799966643192,1,1.4346978557504872,7,18,
GOBP_POSITIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,0.2032525251424107,1,1.5371762740183792,5,12,
GOBP_HISTONE_METHYLATION,0.20372474240717922,1,1.844611528822055,3,6,
GOBP_POSITIVE_REGULATION_OF_VIRAL_PROCESS,0.20372474240717922,1,1.844611528822055,3,6,
GOBP_RNA_STABILIZATION,0.20372474240717922,1,1.844611528822055,3,6,
GOBP_TRNA_PROCESSING,0.20372474240717922,1,1.844611528822055,3,6,
GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME,0.20661716046926146,1,1.6396546922862711,4,9,
GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,0.21600864998013217,1,1.264876476906552,12,35,
GOBP_NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY,0.22739184503617782,1,1.268170426065163,11,32,
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_PROTEIN_CATABOLIC_PROCESS,0.261096625108321,1,1.4189319452477347,5,13,
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION,0.27105978260869557,1,3.68922305764411,1,1,
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION,0.27105978260869557,1,3.68922305764411,1,1,
GOBP_ACTOMYOSIN_CONTRACTILE_RING_ORGANIZATION,0.27105978260869557,1,3.68922305764411,1,1,
GOBP_ANDROGEN_BIOSYNTHETIC_PROCESS,0.27105978260869557,1,3.68922305764411,1,1,
GOBP_AXONEMAL_CENTRAL_APPARATUS_ASSEMBLY,0.27105978260869557,1,3.68922305764411,1,1,
